created_at,full_text,tweet_url
"06:18 PM Jul 06, 2025",Melalui Program Sekolah Rakyat pemerintah hadir untuk memberikan akses pendidikan yang berkualitas agar Anak Generasi Emas cerdas secara intelektual bermental tangguh dan berkarakter kuat. #prabowogibran https://t.co/SqfqRa7Hl7,https://x.com/undefined/status/1941818961139773557
"09:09 PM Jul 01, 2025",Kami Akan Terus Mendidik dan Menuntun Anak-anak Generasi Emas Papua Lewat Satgas Si-Ipar ORC 2025 di Kota Oksibil Kab. Pegunungan Bintang https://t.co/fKYF8KS9ml,https://x.com/undefined/status/1940050149625180418
"08:39 PM Jun 30, 2025",Hadir Mengajar Anak-anak Generasi Emas Papua di Kota Oksibil #Operasirasakacartenz2025 https://t.co/K8trqnbQIv,https://x.com/undefined/status/1939680268073541968
"01:24 PM Jun 29, 2025",@ChiciAdynda itu mahogany bakal jadi nama anak generasi emas gak ya?,https://x.com/undefined/status/1939208240522535031
"07:57 PM Jun 28, 2025",Polri Hadir Berikan Kebahagiaan Bagi Anak-anak Generasi Emas Papua Melalui Satgas Si-Ipar ORC 2025 Polres Pegunungan Bintang #Operasirasakacartenz2025 https://t.co/O02PCHCUHh,https://x.com/undefined/status/1938944958817542212
"09:52 AM Jun 28, 2025",@NoemeeBelonta Setuju banget sama inisiatif Presiden Prabowo soal makan bergizi gratis anak-anak generasi emas makin siap bersaing,https://x.com/undefined/status/1938792683109261513
"09:20 AM Jun 18, 2025",Makan Bergizi Gratis telah tidak hanya memberikan manfaat kepada anak murid tetapi juga berdampak positif kepada masyarakat sekitar dengan terbukanya lapangan kerja baru. Dengan program unggulan MBG menciptakan Anak Generasi Emas juga meningkatkan perekonomian rakyat! https://t.co/kdw2m39C3W,https://x.com/undefined/status/1935160613027938325
"07:11 PM Jun 17, 2025",Satgas Si-Ipar ORC 2025 Polres Pegunungan Bintang Hadir Mengajar Dengan Penuh Kasih dan Merangkul Bersama Anak-anak Generasi Emas Papua #Operasirasakacartenz2025 #oksibil #pegununganbintang https://t.co/ItNoACwGSi,https://x.com/undefined/status/1934947126129377571
"05:28 PM Jun 16, 2025",Pemerintah Kabupaten Tangerang resmi meluncurkan Program Intan Emas (Investasi Anak Generasi Emas) di GSG Puspem Senin (16/6/2025). https://t.co/LX23pByWi0,https://x.com/undefined/status/1934558751572611377
"07:07 PM Jun 02, 2025",Presiden Prabowo Subianto menyatakan bahwa anak-anak generasi emas adalah garda terdepan dalam menjaga Pancasila tetap hidup bukan sekadar dalam hafalan tetapi dalam sikap karya dan karakter. https://t.co/HMMxNXpwsz,https://x.com/undefined/status/1929510159404998953
"09:08 PM Jun 01, 2025", Anak Generasi Emas merupakan garda terdepan dalam menjaga Pancasila tetap hidup dalam karya dan karakter. Bukan hanya hafalan namun dihayati untuk menjadi cahaya dan pedoman yang membimbing langkah mereka menuju masa depan - Prabowo Subianto. #HariLahirPancasila #DaruratPHK https://t.co/qalixgCVM7,https://x.com/undefined/status/1929178342596448333
"08:20 PM Jun 01, 2025",Prabowo Sebut Anak Generasi Emas Jadi Garda Terdepan Jaga Pancasila #prabowo #minggu #pancasila #beritanasional https://t.co/gclZaDn8HC,https://x.com/undefined/status/1929166038366904388
"03:41 PM Jun 01, 2025",Presiden Prabowo Subianto menyatakan bahwa anak-anak generasi emas adalah garda terdepan dalam menjaga Pancasila tetap hidup bukan sekadar dalam hafalan tetapi dalam sikap karya dan karakter.https://t.co/dQUEuQTwKp,https://x.com/undefined/status/1929095905942130834
"12:29 PM Jun 01, 2025",Presiden Prabowo : Anak Generasi Emas merupakan garda terdepan dalam menjaga Pancasila tetap hidup dalam karya dan karakter. Bukan hanya hafalan namun dihayati untuk menjadi cahaya dan pedoman yang membimbing langkah mereka menuju masa depan. https://t.co/yKOnWrnuWy,https://x.com/undefined/status/1929047628542603453
"12:23 PM Jun 01, 2025",Presiden RI Prabowo Subianto menegaskan anak-anak Generasi Emas adalah garda terdepan dalam menjaga nilai-nilai Pancasila tetap hidup bukan hanya dalam hafalan melainkan dalam sikap karya dan karakter nyata Anak Generasi Emas merupakan garda terdepan dalam menjaga Pancasila https://t.co/KVQipVN57n,https://x.com/undefined/status/1929046142521913344
"09:46 PM May 24, 2025",Kami Hadir Bukan Hanya Sebagai Penegak Hukum Tetapi Juga Sebagai Sahabat Bagi Anak-anak Generasi Emas Papua #Operasirasakacartenz2025 https://t.co/UybNRFR7Uh,https://x.com/undefined/status/1926288720937844994
"08:01 PM May 20, 2025",Polri Hadir Memberikan Yang Terbaik Bagi Anak - anak Generasi Emas Papua #Operasirasakacartenz2025 https://t.co/lbqpUKxbRG,https://x.com/undefined/status/1924812603068711415
"02:01 PM May 16, 2025",4. Ia mengatakan penyediaan layanan kesehatan merupakan upaya menjaga dan menjamin kesehatan generasi emas di wilayah tersebut. Ini upaya kami demi merawat dan menjaga kesehatan anak-anak generasi emas. #JumatPenuhKebaikan Berbagi Wujud Keberkahan https://t.co/y8Q7rLnAWW,https://x.com/undefined/status/1923272504358965449
"09:10 AM Jul 08, 2025",Kementerian Ekraf Dukung KOMIB Cetak Talenta Muda Kreatif untuk Generasi Emas 2045 https://t.co/AabpJ0eflk,https://x.com/undefined/status/1942405951535108110
"04:56 PM Jul 07, 2025",@SBnnksby Mewujudkan Generasi Emas 2045 membutuhkan langkah yang terpadu dan komprehensif. Fokus utama adalah meningkatkan kualitas sumber daya manusia melalui pendidikan pelatihan dan pengembangan keterampilan serta mendorong pertumbuhan ekonomi yang inklusif dan berkelanjutan.,https://x.com/undefined/status/1942160812740935941
"04:38 PM Jul 07, 2025",Gubernur Kaltim Ajak LDII Perkuat Pendidikan dan Dakwah Dukung Gratispol Wujudkan Generasi Emas 2045 - LDII Kalimantan Timur https://t.co/XoQgXXoNTm https://t.co/3I72dNk92N,https://x.com/undefined/status/1942156295962017884
"10:55 AM Jul 07, 2025",@vinasantosa Blm mateng konsepnya jane iki Gek arep generasi emas 2045? ,https://x.com/undefined/status/1942069944243679639
"09:41 AM Jul 07, 2025", Menuju Generasi Emas 2045 Semua anak berhak tumbuh sehat dan kuat Sahabat Program Makan Bergizi Gratis (MBG) hadir untuk cegah stunting sejak dini melalui pemenuhan gizi seimbang untuk anak-anak ibu hamil dan ibu menyusui. ⁣ Per 26 Juni 2025 sebanyak 5.565.648 https://t.co/RO7O9YEIVc,https://x.com/undefined/status/1942051414886498627
"08:25 AM Jul 07, 2025",Mari kita wujudkan generasi emas 2045 #indonesiabersinar #indonesiadrugfree #bnnkoki #bersihnarkoba #cegahnarkoba #berantasnarkoba #rehabilitasinarkoba https://t.co/ApUwqVVKXO,https://x.com/undefined/status/1942032096727335252
"08:02 AM Jul 07, 2025",@FolkMedsos Generasi emas 2045..Bapaknnya Maling anaknya maling cucunya maling korban maling siapa?,https://x.com/undefined/status/1942026433473479155
"06:02 AM Jul 07, 2025",Pendaftaran PAUD Negeri Makassar Gratis Berakhir 10 Juli https://t.co/zDaoV3YNQb Program PAUD Negeri gratis ini menjadi langkah strategis membangun fondasi Generasi Emas 2045 melalui pendidikan berkualitas sejak dini. Di sini anak-anak belajar bermain dan tumbuh dalam li ,https://x.com/undefined/status/1941996100677771522
"03:29 PM Jul 06, 2025",@GenZNusantara Dukung bareng inisiatif Presiden Prabowo biar generasi emas 2045 jadi kenyataan,https://x.com/undefined/status/1941776400861532239
"03:14 PM Jul 06, 2025",Polri Kembangkan Polisi Cilik di Seluruh Indonesia Siapkan Generasi Emas 2045 https://t.co/7G0HW3cdHA,https://x.com/undefined/status/1941772833295892792
"09:12 AM Jul 06, 2025",@GenZNusantara Jangan ragu melangkah bareng Presiden Prabowo dan MBG kita siap menuju generasi emas 2045,https://x.com/undefined/status/1941681671784497253
"09:22 PM Jul 05, 2025",Program Makan Bergizi Gratis (MBG) hadir sebagai upaya nyata negara dalam memastikan anak-anak Indonesia tumbuh sehat dan cerdas sebagai bekal menuju Generasi Emas 2045. #MakanBergiziGratis #ManfaatMBG #CegahStunting #DukungMBG #IndonesiaEmas2045 https://t.co/AOYOO1FdiL,https://x.com/undefined/status/1941502992064315618
"08:27 PM Jul 05, 2025",Mendukbangga/Kepala BKKBN Ajak Lemhannas Jadi Penambang Generasi Emas 2045 https://t.co/h4Sa2pWdLM,https://x.com/undefined/status/1941489043419599156
"05:39 PM Jul 05, 2025",@AntoniusCDN @_luv_0499 @albertomemet05 @anneserlo @DS_yantie @ch_chotimah2 @BebySoSweet @Ary_PrasKe2 @Anak__Ogi @NgkongRoses @kenhans03 generasi emas 2045 Tpi bagaimana mau jdi emas klw dri skarang karatnya sudah dibiarkan menebal. Yg jdi miris budaya saling merendahkan makin dianggap biasa. Sekolah yg seharusnya jdi tempat aman justru kadang jdi ladang kekerasan terselubung,https://x.com/undefined/status/1941446877129605649
"06:10 PM Jul 04, 2025", Generasi Emas 2045 dimulai hari ini. Gizi yang cukup. Lingkungan yang sehat. Orangtua yang peduli. Negara yang hadir. Semuanya jadi pondasi anak-anak tumbuh optimal dan berdaya. #HariAnakNasional2025 https://t.co/n7QYYaL2Ja,https://x.com/undefined/status/1941092251436003417
"05:56 PM Jul 04, 2025",Beasiswa LPPD Jatim sukses cetak doktor bukti investasi jangka panjang untuk Generasi Emas 2045. #BeasiswaLPPD #JatimPintar #GenerasiEmas2045 #SDMUnggul #PendidikanTinggi #InvestasiSDM https://t.co/4yBQ0lLlTc,https://x.com/undefined/status/1941088724479307988
"07:26 PM Jul 03, 2025",@theRACHMANS gua sih percaya generasi emas 2045 soalnya generasi boomer udh pada mati....,https://x.com/undefined/status/1940748928003330184
"11:34 AM Jul 03, 2025",Bukan satu-satunya tapi salah satu dari ribuan guru di negara yang besar yang digaji tidak layak namun dituntut mencerdaskan generasi emas 2045 ,https://x.com/undefined/status/1940630263253590506
"03:59 PM Jul 08, 2025",Kami percaya menanam pohon bukan tentang hari ini tapi tentang warisan untuk generasi masa depan. Langkah kecil kita hari ini adalah investasi untuk bumi yang lebih besar esok hari. Yuk mulai dari diri kita sendiri. #GerakanPJT1MenujuBebasPlastik #PerumJasaTirtaI #We,https://x.com/undefined/status/1942508772288835941
"03:55 PM Jul 08, 2025",Bersama mari kita dukung generasi masa depan agar terus melangkah maju dengan percaya diri dan harapan. #SigapUntukPendidikan #KoperasiSigapNusantara #KSNPeduliPendidikan #TumbuhBersamaKSN #PendidikanUntukSemua,https://x.com/undefined/status/1942507729572225147
"02:02 PM Jul 08, 2025",Kami percaya menanam pohon bukan tentang hari ini tapi tentang warisan untuk generasi masa depan. Langkah kecil kita hari ini adalah investasi untuk bumi yang lebih besar esok hari. Yuk mulai dari diri kita sendiri. ,https://x.com/undefined/status/1942479301884190744
"01:11 PM Jul 08, 2025",Kami percaya menanam pohon bukan tentang hari ini tapi tentang warisan untuk generasi masa depan. Langkah kecil kita hari ini adalah investasi untuk bumi yang lebih besar esok hari. Yuk mulai dari diri kita sendiri. ,https://x.com/undefined/status/1942466590886473760
"12:54 PM Jul 08, 2025",@sskusuzy Pemberantasan narkoba adalah investasi untuk generasi masa depan yang lebih baik.,https://x.com/undefined/status/1942462194186346554
"11:47 AM Jul 08, 2025",Sekolah Rakyat itu bukan program sementara. Ini adalah warisan buat generasi masa depan! @prabowo https://t.co/w1mtOLZptK,https://x.com/undefined/status/1942445326629052771
"09:41 AM Jul 08, 2025",Sepakat Bund tetap semangat melakukan apa yang seharusnya kita lakukan sebab kita adalah pejuang perubahan generasi masa depan,https://x.com/undefined/status/1942413661303128253
"08:51 AM Jul 08, 2025",Kami percaya menanam pohon bukan tentang hari ini tapi tentang warisan untuk generasi masa depan. Langkah kecil kita hari ini adalah investasi untuk bumi yang lebih besar esok hari. Yuk mulai dari diri kita sendiri. ,https://x.com/undefined/status/1942401018291249596
